#,Image,Note,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Compton,elastic,Flux0,Flux1,Flux,Pixels
           0,Cr,clay,152508.,4998.,0.,0.,4135.,3413.,76956.,1772.,141.,0.,54.9,659.,845921.,629799.,226.,0.904,2.12e+8,189785.
           1,Cr,cpx_core,189750.,17174.,0.,312.,4471.,2260.,141314.,3253.,2630.,406.,1706.,1534.,753478.,226111.,226.,0.903,2.77e+9,2484100.
           2,Cr,cpx_mantle,175130.,11146.,0.,0.,4148.,2068.,144901.,3391.,2347.,340.,1475.,1556.,686894.,141351.,226.,0.904,6.09e+9,5465060.
           3,Cr,cpx_rim,173599.,10918.,0.,0.,4063.,2232.,150586.,3533.,2913.,385.,1400.,1522.,673161.,143132.,226.,0.904,3.25e+9,2913420.
           4,Cr,fracture,120338.,534.,0.,0.,3784.,1226.,53106.,1227.,740.,90.3,397.,1866.,947950.,352897.,226.,0.904,5.52e+8,494623.
           5,Cr,holes,180006.,14302.,0.,109.,4308.,2071.,138429.,3201.,2371.,363.,1504.,1500.,689383.,182250.,226.,0.903,3.55e+8,318270.
           6,Cr,mineral1,113833.,0.,1467.,0.,3711.,1753.,26092.,579.,460.,37.9,142.,1507.,1046270.,589554.,226.,0.906,1.22e+8,109203.
           7,Cr,olivine,55117.,0.,0.,0.,3123.,0.,3968.,0.,79.1,0.,93.4,3859.,1159980.,0.,226.,0.905,2.66e+8,238293.
           8,Cr,opaque,130130.,5282.,13461.,0.,3559.,1716.,113234.,2484.,3405.,348.,1248.,1349.,784605.,206533.,226.,0.904,8896190.,7978.
           9,Cr,orthopyroxene,136604.,0.,0.,0.,3588.,845.,63519.,1759.,1236.,174.,827.,2321.,849858.,174868.,226.,0.904,2.86e+8,256318.
          10,Cr,orthopyroxene2,114258.,0.,0.,0.,3490.,1835.,105629.,2522.,9870.,794.,2289.,1301.,754420.,183776.,226.,0.904,2.74e+8,245715.
          11,Cr,plagioclase,176024.,6658.,0.,0.,4116.,1481.,88539.,2097.,0.,0.,0.,1.52,766299.,505572.,227.,0.904,1.23e+10,11009100.
